Feature,Duration,ATE,Normalized_ATE,Sum_Normalized_ATE,Type
2.5V_PCU_ELB,10,35.270761299524736,0.10111354975416018,1.0,IBS_N
Radial Distance from Sun,10,0.0316985889313477,9.087291373803392e-05,1.0,IBS_N
Electronic Box Temperature,10,33.32543263140268,0.09553671841213285,1.0,IBS_N
Outboard Sensor Temperature,10,8.472025226693052,0.024287441288920263,1.0,IBS_N
Inboard Sensor Temperature,10,28.222443394683168,0.08090756562180351,1.0,IBS_N
Solar Array's Angle,10,19.4278938953062,0.05569551786306519,1.0,IBS_N
High Gain Antenna Azimuth,10,91.8204552800037,0.2632291402660877,1.0,IBS_N
High Gain Antenna Elevation,10,107.3680308350238,0.30780063508268163,1.0,IBS_N
Heater Dutycycle,10,23.755704654826197,0.06810240369246778,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,10,1.1288462773999957,0.0032361551049429993,1.0,IBS_N
2.5V_PCU_ELB,20,5.039827675405335,0.01615607081067516,1.0,IBS_N
Radial Distance from Sun,20,0.0381897937077023,0.00012242422779606095,1.0,IBS_N
Electronic Box Temperature,20,6.3358519095876495,0.02031070875633002,1.0,IBS_N
Outboard Sensor Temperature,20,18.760183559136536,0.060139130447212634,1.0,IBS_N
Inboard Sensor Temperature,20,65.20644244471669,0.20903093702788747,1.0,IBS_N
Solar Array's Angle,20,10.232858234062192,0.032803260919395,1.0,IBS_N
High Gain Antenna Azimuth,20,57.59411051232979,0.18462824279804657,1.0,IBS_N
High Gain Antenna Elevation,20,90.16806228133284,0.28904988283382516,1.0,IBS_N
Heater Dutycycle,20,26.599643158675555,0.08526992311809362,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,20,31.97120244590825,0.10248941906073843,1.0,IBS_N
2.5V_PCU_ELB,30,70.42697360758365,0.15496541481505274,1.0,IBS_N
Radial Distance from Sun,30,0.0420953128690233,9.26252724824624e-05,1.0,IBS_N
Electronic Box Temperature,30,19.88667547214845,0.04375804831548198,1.0,IBS_N
Outboard Sensor Temperature,30,60.290613931565446,0.13266167093048534,1.0,IBS_N
Inboard Sensor Temperature,30,36.78162544789721,0.08093319296758086,1.0,IBS_N
Solar Array's Angle,30,82.27713163335862,0.18104014953701167,1.0,IBS_N
High Gain Antenna Azimuth,30,44.49733583779961,0.09791061227039308,1.0,IBS_N
High Gain Antenna Elevation,30,38.28061545353302,0.08423152592337832,1.0,IBS_N
Heater Dutycycle,30,20.35455096310053,0.044787547608482664,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,30,81.63135976737516,0.17961921235965095,1.0,IBS_N
2.5V_PCU_ELB,40,28.343092183275736,0.0666492561349931,1.0000000000000002,IBS_N
Radial Distance from Sun,40,0.0417183634687593,9.810143065486523e-05,1.0000000000000002,IBS_N
Electronic Box Temperature,40,43.406656242485305,0.10207147939828776,1.0000000000000002,IBS_N
Outboard Sensor Temperature,40,31.686840673708293,0.07451213673209806,1.0000000000000002,IBS_N
Inboard Sensor Temperature,40,33.27334323733959,0.07824282409106867,1.0000000000000002,IBS_N
Solar Array's Angle,40,102.33274225186064,0.240637157909149,1.0000000000000002,IBS_N
High Gain Antenna Azimuth,40,110.8933403083302,0.26076754766496507,1.0000000000000002,IBS_N
High Gain Antenna Elevation,40,29.213335158358092,0.0686956470711298,1.0000000000000002,IBS_N
Heater Dutycycle,40,39.77889807607893,0.0935407452897736,1.0000000000000002,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,40,6.287475626712726,0.014785104277880191,1.0000000000000002,IBS_N
2.5V_PCU_ELB,50,23.952501928838718,0.07950412802720248,0.9999999999999999,IBS_N
Radial Distance from Sun,50,0.0418790254746283,0.00013900658114468414,0.9999999999999999,IBS_N
Electronic Box Temperature,50,53.94737926616838,0.1790643566443267,0.9999999999999999,IBS_N
